"","CreditScore","FirstPmt","FirstTimeHomebuyer","Maturity Date","MSA Code","MI Percentage","Number of Units","Occupancy Status","CLTV","DTI","UPB","LTV","Interest Rate","Channel","PPM","Product","State","Property Type","Postal Code","Loan Sequence Number","Loan Purpose","Original Term","Borrower Num","Seller Name","Servicer Name","Super Conforming","NPV"
"1","799","199903","2","202901","37620","0","1","2","70","25","44000","70","6.875","3","2","1","52","6","26100","1","2","359","1","326","17",NA,"-3418.28288665265"
"2","635","200212","2","202904","10420","0","1","2","76","21","117000","76","6","3","2","1","37","6","44700","2","3","317","2","326","17",NA,"17108.6287635168"
"3","787","199905","2","202904","12060",NA,"1","2","80","18","124000","80","6.75","3","2","1","11","5","30500","3","3","360","2","309","8",NA,"12082.0821433078"
"4","726","199904","2","202903","28140","0","1","2","80","37","108000","80","6.875","4","2","1","18","6","66000","4","3","360","2","308","17",NA,"10563.934427052"
"5","748","199905","1","202904","17140",NA,"1","2","80","28","115000","80","7.125","3","2","1","37","6","45200","5","2","360","2","326","17",NA,"11640.8526662253"
"6","720","199905","1","202904","42044",NA,"1","1","24","11","41000","24","7.25","3","2","1","5","6","92800","6","1","360","2","322","22",NA,"4280.8738865066"
"7","695","199905","1","202904","42044","0","1","2","40","6","135000","40","6.875","3","2","1","5","6","92800","7","1","360","2","318","2",NA,"13313.2407102938"
"8","703","199905","2","202904","40140",NA,"1","2","68","22","240000","68","7","4","2","1","5","6","92500","8","2","360","2","322","22",NA,"23539.1312970242"
"9","737","199903","2","202902","42044",NA,"1","2","67","35","196000","67","7","4","3","1","5","6","92600","9","1","360","1","326","17",NA,"21599.1891189069"
"10","594","199903","1","202902","41620","0","1","2","75","46","62000","75","7","3","2","1","47","6","84100","10","1","360","1","333","15",NA,"30843.7469038941"
"11","683","199905","1","202904","31084","0","1","2","75","43","86000","75","7","3","2","1","5","5","91700","11","1","360","2","5","3",NA,"8462.59661050442"
"12","775","199905","3","202904","13644",NA,"1","2","80","28","120000","80","6.75","4","2","1","22","6","20900","12","3","360","1","316","17",NA,"11700.173765124"
"13","749","199905","2","202904","11460","0","1","2","40","23","125000","40","7","3","2","1","24","6","48100","13","2","360","2","332","1",NA,"12991.0633334236"
"14","782","199911","2","202910","10900","0","1","2","79","23","160000","79","6.25","4","2","1","40","6","18000","14","3","360","2","326","17",NA,"38036.5919405243"
"15","702","199905","2","202904","48424","0","1","2","73","34","85000","73","6.875","4","2","1","10","1","33400","15","2","360","1","299","10",NA,"-8506.57321498569"
"16","767","199905","2","202904","49740","0","1","2","80","35","114000","80","6.75","4","2","1","4","6","85300","16","3","360","2","308","17",NA,"11103.0582733935"
"17","749","199905","3","202904","35644","30","1","2","95","36","76000","95","8.625","4","2","1","36","1","10300","17","3","360","2","326","17",NA,"10524.6564775594"
"18","754","199905","2","202904","15764",NA,"2","2","80","14","223000","80","7.125","4","2","1","21","6","2100","18","3","360","1","333","20",NA,"22576.6929240393"
"19","698","199903","2","202902","20764","30","1","2","95","37","240000","95","7","3","2","1","33","6","7700","19","3","360","2","326","17",NA,"26340.6206352267"
"20","770","199905","3","202904","40900","25","1","2","90","25","165000","90","6.75","3","2","1","5","6","95700","20","3","360","2","322","22",NA,"16127.8977062529"
"21","724","199905","2","202904","33460","30","1","2","95","39","116000","95","7","4","2","1","25","6","55000","21","3","360","2","322","22",NA,"11360.7536712896"
"22","698","199905","2","202904",NA,NA,"1","2","72","30","70000","72","7.125","3","1","1","51","6","54700","22","1","360","2","326","17",NA,"13242.9939701872"
"23","800","199904","3","202903",NA,"30","1","2","95","31","76000","95","7.125","3","2","1","37","6","44600","23","3","360","1","326","16",NA,"11272.9648801665"
"24","703","199904","2","202903","20764","0","1","2","80","36","103000","80","6.875","3","2","1","33","6","8800","24","2","360","1","326","17",NA,"12847.6907449165"
"25","787","199905","2","202904","25540","0","1","2","80","26","68000","80","6.375","3","2","1","7","1","6400","25","3","360","2","326","17",NA,"-1678.72654245461"
"26","667","199904","2","202903","42644","0","1","2","52","18","90000","52","7","3","2","1","50","6","98000","26","1","360","2","326","17",NA,"8600.17622232095"
"27","745","199903","2","202902","25540","0","1","2","73","34","155000","73","6.5","3","2","1","7","6","6400","27","1","360","1","326","17",NA,"-2712.90506419158"
"28","748","199905","2","202904","25540","0","1","2","80","22","134000","80","6.625","3","2","1","7","6","6400","28","3","360","1","326","17",NA,"2988.80725641023"
"29","648","200005","2","202904","34940","25","1","2","86","31","118000","86","8.5","3","2","1","10","6","34100","29","2","348","2","326","17",NA,"-211.413509187594"
"30","792","199905","2","202904","13644","0","1","2","49","17","98000","49","6.5","4","2","1","22","6","20800","30","2","360","2","326","17",NA,"18109.6116828303"
"31","795","199905","2","202904","13644","0","1","2","73","13","137000","73","6.75","3","2","1","22","6","20800","31","2","360","2","326","17",NA,"-4454.86522742054"
"32","795","199904","3","202903","38940","0","1","2","80",NA,"48000","80","7","3","2","1","10","6","34900","32","3","360","1","326","17",NA,"1493.23839052954"
"33","694","199905","2","202904","38940","0","1","2","30","44","45000","30","7","3","2","1","10","6","34900","33","1","360","1","326","17",NA,"6517.8718907455"
"34","740","199905","3","202904",NA,"25","1","2","90","37","248000","90","7.25","3","2","1","12","6","96900","34","3","360","2","326","17",NA,"92360.1212566583"
"35","763","199903","1","202902","22500",NA,"1","2","78","13","79000","78","6.75","3","2","1","43","6","29500","35","2","360","2","322","22",NA,"9615.35064644578"
"36","786","199903","3","202902","21500",NA,"1","2","59","35","74000","59","6.875","3","2","1","40","6","16500","36","3","360","1","322","22",NA,"11307.3333031861"
"37","630","199903","2","202902","19124","0","1","2","63","37","55000","63","6.875","3","2","1","46","6","76200","37","3","360","1","322","21",NA,"21452.5669284746"
"38","637","199903","1","202902","10420","0","1","2","55","14","47000","55","6.875","3","2","1","37","6","44200","38","1","360","2","322","21",NA,"15119.1460765386"
"39","681","199903","2","202902","16700","30","1","2","95","28","76000","95","6.875","3","2","1","43","6","29400","39","3","360","2","322","22",NA,"10510.6125863465"
"40","607","199903","3","202902","13740",NA,"1","2","67","34","66000","67","6.875","3","2","1","28","6","59100","40","3","360","2","322","22",NA,"9153.03084061173"
"41","717","199903","1","202902","38060",NA,"1","2","46","45","74000","46","6.875","3","2","1","4","5","85200","41","1","360","2","322","22",NA,"6959.85716789424"
"42","813","199903","1","202902","33460",NA,"1","2","78","12","53000","78","6.875","3","2","1","25","1","55400","42","2","360","2","322","21",NA,"9296.62702599135"
"43","729","199903","1","202902",NA,NA,"1","2","80","17","80000","80","6.875","3","2","1","6","6","81400","43","1","360","2","322","22",NA,"8513.01315287763"
"44","661","199903","2","202902","46060","25","1","2","89","39","78000","89","6.875","3","2","1","4","6","85700","44","3","360","1","322","22",NA,"12358.0642792916"
"45","700","199903","1","202902","38060",NA,"1","2","66","30","75000","66","6.875","3","2","1","4","6","85200","45","1","360","2","322","22",NA,"11901.7393048714"
"46","693","199903","1","202902","33460",NA,"1","2","57","28","51000","57","6.875","3","2","1","25","6","55400","46","2","360","1","322","22",NA,"8128.58971948738"
"47","742","199903","3","202902","34100",NA,"1","2","80","22","68000","80","6.875","3","2","1","45","6","37800","47","3","360","1","322","22",NA,"10200.0839565119"
"48","526","199903","1","202902",NA,NA,"1","2","80","36","39000","80","7","3","2","1","14","6","50400","48","2","360","2","322","22",NA,"6038.32421435961"
"49","645","199903","1","202902",NA,"0","1","1","53","23","37000","53","7.125","3","2","1","6","6","81100","49","2","360","2","322","21",NA,"16551.9789479294"
"50","642","199903","3","202902","22140","30","1","2","95","37","70000","95","7.125","3","2","1","34","6","87400","50","3","360","1","322","21",NA,"37537.2044147671"
"51","618","199903","1","202902","23060",NA,"1","2","80","30","48000","80","7.125","3","2","1","17","6","46700","51","1","360","2","322","21",NA,"10829.5331790721"
"52","754","199903","1","202902","12700",NA,"1","3","80","9","66000","80","7.125","3","2","1","21","6","2600","52","3","360","2","322","22",NA,"4474.69075785065"
"53","747","199903","1","202902","29620",NA,"1","2","75","33","70000","75","7.25","3","2","1","24","6","48900","53","1","360","1","322","22",NA,"8114.87987142956"
"54","581","199903","1","202902",NA,NA,"1","2","69","43","79000","69","7.375","3","2","1","23","6","4000","54","2","360","1","322","22",NA,"11321.7536790228"
"55","727","199902","1","202901",NA,"25","1","2","90","47","68000","90","6.625","3","2","1","40","6","18300","55","2","360","2","322","21",NA,"30805.7217344654"
"56","715","199903","1","202902",NA,NA,"1","2","80","34","112000","80","6.5","4","2","1","11","6","31600","56","2","360","1","322","22",NA,"13466.2138033662"
"57","738","199903","2","202902","47894","30","1","2","95","37","240000","95","7","4","2","1","48","5","20100","57","3","360","2","322","22",NA,"32784.9863809518"
"58","655","199903","1","202902","19780","25","1","2","90","32","123000","90","7.125","3","2","1","14","6","50200","58","2","360","1","322","22",NA,"13208.1267655381"
"59","686","199903","1","202902","40900","25","1","2","87","32","217000","87","7.125","3","2","1","5","6","95700","59","2","360","2","322","22",NA,"21393.1804728233"
"60","719","199903","1","202902","41180","25","1","2","89","28","129000","89","6.75","3","2","1","26","6","63100","60","2","360","2","322","22",NA,"15882.7927308427"
"61","751","199903","1","202902","42644",NA,"1","2","80","19","120000","80","6.75","3","2","1","50","6","98100","61","1","360","2","322","22",NA,"18069.8171510922"
"62","749","199903","1","202902","47894",NA,"1","2","76","28","170000","76","6.875","3","2","1","8","5","20000","62","1","360","1","322","22",NA,"31098.0672781723"
"63","764","199903","1","202902","31084","25","1","2","89","22","169000","89","6.875","3","2","1","5","6","90800","63","2","360","2","322","22",NA,"25608.7357176751"
"64","684","199903","1","202902","33460",NA,"1","2","90","26","141000","80","6.875","3","2","1","25","6","55400","64","2","360","2","322","22",NA,"19516.6474692933"
"65","676","199903","3","202902","16740","30","1","2","95","33","187000","95","6.625","3","2","1","29","1","28000","65","3","360","2","322","22",NA,"20371.6458846344"
"66","673","199903","1","202902","45220","30","1","2","93","38","136000","93","6.5","3","2","1","10","6","32300","66","2","360","2","322","22",NA,"19039.2631027761"
"67","695","199903","1","202902",NA,NA,"1","3","75","36","88000","75","6.875","3","2","1","14","6","50500","67","2","360","2","322","17",NA,"1738.10839771251"
"68","781","199903","1","202902",NA,NA,"1","2","62","28","136000","62","6.875","3","2","1","6","6","80800","68","2","360","1","322","22",NA,"20870.4352240906"
"69","661","199903","1","202902","47644",NA,"1","2","80","22","172000","80","6.875","3","2","1","24","6","48300","69","1","360","2","322","22",NA,"15630.5342002957"
"70","664","199903","1","202902",NA,NA,"1","2","77","39","156000","77","6.875","3","2","1","28","4","59700","70","1","360","2","322","17",NA,"2059.06754528353"
"71","743","199903","1","202902","38900","0","1","2","80","32","160000","80","6.5","3","2","1","39","6","97200","71","1","360","1","322","21",NA,"69653.436156679"
"72","703","199903","1","202902","46060",NA,"1","2","66","2","90000","66","6.875","3","2","1","4","6","85700","72","2","360","2","322","22",NA,"13069.378545087"
"73","708","199903","1","202902","33460",NA,"1","2","80","24","112000","80","6.875","3","2","1","25","6","55000","73","1","360","2","322","22",NA,"16424.523185955"
"74","789","199903","1","202902","35084",NA,"1","3","61","17","91000","61","6.875","3","2","1","33","6","7800","74","2","360","1","322","17",NA,"2074.70356800682"
"75","741","199903","1","202902","35840",NA,"1","2","80","33","181000","80","6.875","3","2","1","10","6","34200","75","2","360","2","322","22",NA,"18746.7230623912"
"76","637","199903","1","202902","19740",NA,"1","2","80","41","132000","80","6.875","3","2","1","6","6","80000","76","2","360","2","322","22",NA,"21283.546656372"
"77","635","199903","1","202902","38060",NA,"1","2","62","42","190000","62","7","3","2","1","4","6","85000","77","1","360","2","322","17",NA,"648.968818085181"
"78","660","199903","2","202902","29820","30","1","2","95","43","168000","95","7","3","2","1","35","5","89000","78","3","360","2","322","22",NA,"21484.6291079679"
"79","749","199903","1","202902","29820",NA,"1","3","80","21","104000","80","7","3","2","1","35","5","89100","79","3","360","2","322","22",NA,"17811.2193817205"
"80","720","199903","1","202902","16974",NA,"1","3","75","9","150000","75","7","3","2","1","16","1","60600","80","3","360","1","322","22",NA,"13251.6435782356"
"81","639","199903","1","202902","33140",NA,"1","2","74","16","92000","74","7","3","2","1","17","6","46300","81","1","360","2","322","22",NA,"12651.1814675322"
